0,date,co,no2,o3,so2,pm10,pm2.5,temp,feelslike,humidity,precip,windspeed,cases
,25/11/2020,1849.398667,35.81,48.51866667,30.50933333,80.30533333,60.08133333,27.8,29.1,63.8,0.07,18.6,45
,26/11/2020,1069.227917,28.65708333,47.4475,21.79583333,45.44791667,32.725,28.3,30.1,64.64,0.11,23.1,45
,27/11/2020,2159.039583,38.79958333,6.840416667,40.60125,79.54041667,61.20416667,27,29.7,84.49,1.35,18.8,67
,28/11/2020,1390.4975,27.2475,16.48708333,29.80791667,52.39708333,39.22875,28,31,79.41,0.19,18.9,43
,29/11/2020,1364.629167,29.88916667,12.7125,26.26541667,50.66416667,38.52291667,26.3,27.6,86.09,3.77,16.2,50
,30/11/2020,1491.32875,30.845,35.03791667,22.50041667,63.41083333,48.14,27.2,28.9,74.82,8.83,23.9,47
,1/12/2020,1034.459167,35.27916667,40.67958333,25.63041667,41.15666667,27.58958333,28,29.5,63.51,0,20.5,59
,2/12/2020,2420.7825,53.48041667,17.60416667,48.68791667,106.1504167,83.01916667,27.7,30.3,75.01,0,18.2,63
,3/12/2020,3516.435,48.19666667,6.8025,38.99208333,167.6908333,135.7320833,27.9,31.7,81.91,0.01,17.6,34
,4/12/2020,3542.582917,68.77333333,2.855,67.39333333,134.3675,108.1679167,27.4,30.1,79.51,0.18,14,26
,5/12/2020,2890.58625,69.55916667,31.71208333,49.21458333,136.3679167,108.7525,27.8,31.2,82.29,8.15,13.8,47
,6/12/2020,2040.823333,39.28458333,10.30416667,32.47458333,77.62833333,57.23125,27.9,31.4,80.74,2.11,21.5,52
,7/12/2020,2816.597083,36.62916667,0.23375,60.64875,110.3854167,85.58125,26.7,29.2,87.45,1.54,20.2,38
,8/12/2020,869.7904167,20.46416667,9.287916667,23.02375,28.725,18.29833333,27.9,30.9,80.77,6.35,27.9,40
,9/12/2020,2616.604167,38.4425,19.82166667,40.35333333,105.4016667,80.09,27.4,30.3,82.19,15.83,16.1,39
,10/12/2020,1648.90375,28.5325,2.67,35.24625,59.28,42.61875,26,27.3,89.28,6.29,15.1,67
,11/12/2020,1967.94625,33.93666667,31.32166667,45.04166667,85.91916667,62.32875,28.3,31.8,79.69,0,18,32
,12/12/2020,2518.416667,59.66333333,71.1875,57.40875,151.7166667,121.9183333,28.5,32.3,77.69,0,14.7,46
,13/12/2020,2495.6075,50.31666667,6.15125,56.51541667,104.4095833,77.47166667,28.6,32.9,77.03,0.07,12.5,42
,14/12/2020,2276.977083,58.30666667,71.9675,49.9,125.74875,100.17625,28.6,31.9,73.78,0,13.9,53
,15/12/2020,1794.935,28.37208333,15.21875,28.15875,70.39833333,50.81416667,28.3,31,73.53,0.1,22.2,19
,16/12/2020,1425.824167,28.40666667,29.34875,23.93708333,65.90958333,48.12458333,28.4,30.7,69.13,0,20.8,42
,17/12/2020,1371.860833,30.14625,26.91375,24.155,58.51166667,43.98125,26.7,28.3,79.66,0.93,37.5,29
,18/12/2020,932.0983333,22.84875,31.78041667,17.08291667,36.44666667,27.045,26.6,27.8,82.19,2.39,17.2,75
,19/12/2020,1034.736667,28.10375,20.05166667,19.56625,31.5975,24.13166667,25.3,25.6,89.23,20.9,18.5,46
,20/12/2020,857.4141667,22.0525,21.92416667,15.75583333,24.94791667,18.15083333,26.4,28.3,85.5,9.2,20.8,32
,21/12/2020,1198.848333,29.98125,21.37666667,25.3625,43.50416667,30.69791667,27,29.4,81.22,0.66,13.3,79
,22/12/2020,1708.428333,34.12375,18.17583333,36.43958333,72.17708333,51.0925,26.7,28.3,77.54,0.63,15.7,41
,23/12/2020,1324.017917,23.34458333,25.39291667,28.91833333,54.39,36.62208333,27.9,30.3,74.19,0,20,68
,24/12/2020,3153.721667,74.05708333,101.07875,76.20583333,235.4633333,192.335,27.7,29.9,72.37,0,14.6,45
,25/12/2020,2472.798333,34.0725,32.2075,36.14541667,109.3675,87.39041667,27.4,29.3,71.81,0,15.9,55
,26/12/2020,1261.851667,25.55083333,24.54291667,19.33208333,47.10291667,34.50916667,27,28.8,79.38,7.3,16.1,25
,27/12/2020,1134.594167,33.48083333,7.470416667,24.60166667,38.34708333,29.3225,24.7,24.7,89.77,32.08,18.2,35
,28/12/2020,1928.17,41.27708333,4.267916667,45.74625,93.39791667,74.45833333,27.2,29.8,79.17,0,15,30
,29/12/2020,2318.700833,43.20458333,63.55333333,52.71166667,132.3766667,106.2983333,28.2,31.4,77.09,4.49,19.6,35
,30/12/2020,2218.564167,35.60041667,53.6625,40.16416667,119.8916667,94.65541667,27.7,30.6,81.07,13.75,15,40
,31/12/2020,686.0691667,18.85416667,44.265,14.97208333,20.22833333,14.26,27.3,28.5,64.09,13.57,24.3,66
,1/1/2021,1086.475,26.86833333,42.66333333,20.96125,38.74791667,27.44833333,26.3,27,67.84,0.07,19.1,67
,2/1/2021,762.4225,23.82666667,34.26,16.0375,28.33,19.04375,26.6,27.8,70.74,0,19,28
,3/1/2021,1033.345833,31.3175,22.80583333,21.4575,35.26625,25.96791667,25.4,25.6,85.59,33.74,18.3,42
,4/1/2021,1485.765,27.39,20.54875,24.50875,60.11333333,44.08708333,27.3,29.5,79.64,0.8,25,31
,5/1/2021,2144.574583,30.775,27.96166667,35.61375,90.01833333,66.895,26.7,28.5,80.27,0.8,19.1,24
,6/1/2021,2201.736667,29.54583333,23.40875,39.52458333,94.35083333,72.72083333,27.6,29.4,72.51,0,20.1,40
,7/1/2021,1976.012917,30.7525,25.80875,32.62916667,84.775,63.98291667,26.7,28.2,77.42,0.05,15.4,40
,8/1/2021,1911.20375,37.22166667,22.50708333,38.90166667,80.40791667,60.8225,26.9,28.3,75.4,0,16.4,59
,9/1/2021,816.6641667,23.51208333,44.39083333,20.09666667,28.86166667,21.01125,26.7,27.4,67.23,0,21.4,66
,10/1/2021,779.53125,21.51375,48.7675,16.57083333,31.65583333,22.70916667,26.2,26.6,65.01,0,25.7,60
,11/1/2021,907.75875,27.47083333,47.24833333,22.82458333,40.94583333,27.99875,25.7,26.1,68.01,0,28.5,70
,12/1/2021,1752.377083,38.38625,29.53375,32.77708333,75.47,57.04125,25.9,26.2,64.03,0,21.8,51
,13/01/2021,2666.115417,45.08958333,17.38791667,48.39,127.7104167,99.88166667,25.7,26.3,72.17,0,17.1,57
,14/01/2021,2092.282917,54.69416667,18.49041667,43.60041667,104.66,80.68458333,26.7,27.9,73.66,0,15.4,52
,15/01/2021,1615.52375,39.02833333,28.2875,34.06958333,84.48916667,62.01625,27.2,28.7,74.16,0,17.8,81
,16/01/2021,988.0075,26.74666667,34.37958333,19.00916667,48.17166667,32.22791667,27,28.2,71.49,0,15.8,66
,17/01/2021,813.4633333,22.8275,38.01708333,19.13833333,31.78625,22.14791667,27,27.8,69.4,0.28,17.5,41
,18/01/2021,611.525,17.67166667,48.95083333,15.41875,21.18541667,15.01166667,26.8,27.9,71.21,0.03,19.8,53
,19/01/2021,933.4891667,28.84583333,31.89583333,22.38708333,30.76791667,22.26541667,26.5,27.5,76.24,0.04,14.6,46
,20/01/2021,1590.212083,40.57083333,18.37958333,31.48583333,57.48125,45.99833333,25.7,26.3,86.08,43.47,19,47
,21/01/2021,2221.903333,31.45958333,1.254166667,44.68333333,102.6658333,82.215,27.2,30.1,83.43,14.04,16.7,80
,22/01/2021,1411.915833,32.78083333,31.63458333,38.82208333,66.28875,52.29333333,27.7,30.8,80.52,0.09,15.8,62
,23/01/2021,1295.924167,23.90458333,19.02958333,21.87041667,49.57375,38.67333333,27,29.4,81.93,5.71,20.2,50
,24/01/2021,2807.697917,38.13541667,17.89166667,39.91541667,140.9041667,118.95375,27.8,30.6,79.44,15.31,16.4,66
,25/01/2021,3277.2225,65.09666667,36.59708333,63.02208333,163.3491667,129.4325,27.6,30.3,79.18,0.26,23.9,35
,26/01/2021,3944.237917,101.08375,35.81291667,83.58541667,207.69625,170.9025,27,29.2,79.82,0.7,19.3,20
,27/01/2021,2251.943333,28.58,0.065555556,30.99444444,107.5511111,80.91,26.5,27.5,83.3,14.12,18,51
,28/01/2021,1769.511333,46.37133333,87.41,36.70066667,87.754,68.35466667,26.5,27.6,79.15,0.92,19.6,40
,29/01/2021,1441.399583,32.87666667,35.96333333,30.92875,59.58458333,43.35833333,26.4,26.9,63.57,0,26.4,73
,30/01/2021,954.2104167,20.75708333,48.01,18.8275,46.77541667,32.92541667,26,26.4,63.88,0,29,59
,31/01/2021,1258.513333,29.47791667,39.26333333,26.1025,50.99208333,36.53125,25.5,25.8,65.11,0,25.8,42
,1/2/2021,1733.044583,29.06125,31.74083333,30.84625,78.18458333,57.44666667,26,26.7,69.9,0.03,23.5,51
,2/2/2021,1913.70625,40.14916667,50.3175,38.41583333,101.0954167,75.20791667,26.6,27.6,68.89,0,16.7,65
,3/2/2021,1697.857917,31.59125,32.22791667,32.63416667,75.05541667,56.29375,27.1,28.3,67.38,0,24.6,34
,4/2/2021,1390.775833,31.13875,37.52791667,29.63833333,65.10958333,47.97208333,27.3,28.3,65.12,0,26.9,22
,5/2/2021,1198.707917,29.175,35.09208333,23.63958333,54.56791667,39.10875,27.5,28.7,67.76,0,23.6,73
,6/2/2021,1578.2525,34.70125,30.78791667,31.57,71.36666667,52.68583333,27.6,29.2,70.76,0,18.7,55
,7/2/2021,1843.195417,31.21375,24.63916667,37.895,75.90291667,56.87916667,27.8,29.5,71.32,0,23.2,54
,8/2/2021,1785.755833,30.13125,14.93625,35.61375,76.8575,57.17708333,27.7,29.1,66.74,0,23.5,50
,9/2/2021,1084.249167,30.39583333,30.22583333,24.79083333,43.98083333,31.66,26,26.5,79.23,10.51,21.4,48
,10/2/2021,1469.21625,27.7075,26.54166667,29.81916667,58.28125,42.05208333,26.7,28,78.07,0.41,27.7,34
,11/2/2021,2689.48125,48.22875,62.14958333,50.31666667,155.0929167,127.0854167,26.7,28.8,82.44,0,22.2,53
,12/2/2021,1523.455833,45.92541667,60.47875,32.8425,81.71666667,65.29375,27.3,29.4,77.57,0,46.4,81
,13/02/2021,1429.717083,42.95458333,27.85708333,32.00833333,69.25291667,53.92375,26,26.5,80.01,1.87,46.4,71
,14/02/2021,2155.145417,44.71833333,43.64916667,37.89875,121.2566667,97.67583333,26.8,28.1,78.07,0,22.2,59
,15/02/2021,2115.090417,44.91166667,12.31375,49.3525,111.6770833,82.18333333,26.8,28.2,77.21,0.27,21.8,64
,16/02/2021,1456.698333,33.15208333,36.26125,34.10333333,62.42291667,43.32625,27.1,28.3,68.86,0.03,22.4,33
,17/02/2021,2154.032083,42.15541667,66.05916667,49.65125,117.3483333,87.32625,26.8,27.9,69.5,0.01,21.7,55
,18/02/2021,1836.101667,33.63416667,39.3825,37.00416667,85.32791667,64.23625,26.9,27.4,65.07,0,22,82
,19/02/2021,568.8291667,16.11208333,74.2075,16.20833333,24.61875,15.96291667,25.8,26,61.19,0,27.8,77
,20/02/2021,1116.793333,28.59458333,48.68708333,22.75916667,52.335,34.73916667,25.4,25.6,60.37,0,31.8,95
,21/02/2021,1082.302917,31.67833333,46.58791667,26.24708333,51.19583333,32.80791667,25.5,26,68.49,0.01,23.9,92
,22/02/2021,1110.117917,34.48083333,41.87416667,25.9175,39.025,27.6075,25.3,25.5,81.95,0.22,20,114
,23/02/2021,2528.7075,45.85333333,21.85416667,47.67375,108.7158333,89.07125,27.3,29.7,80.1,1.06,22.4,64
,24/02/2021,1769.065833,35.08083333,38.86791667,41.12708333,84.14083333,62.49833333,28.2,31.2,77.28,0,17.3,68
,25/02/2021,1569.0725,27.20416667,52.38833333,37.93875,78.27041667,54.13125,28.8,31.2,66.91,0,20.8,131
,26/02/2021,1674.49375,31.94625,106.7929167,48.15041667,117.6879167,89.35,28.3,30.4,68.59,0,16.7,117
,27/02/2021,1250.02875,22.11791667,77.50708333,31.62083333,78.01541667,55.01666667,28.6,31.9,74.09,0,21.3,114
,28/02/2021,1336.257917,24.84791667,47.78083333,35.68416667,62.86,45.49916667,28,31,73.13,4.19,19.7,114
,1/3/2021,2067.247917,49.1475,66.42416667,43.97875,111.1108333,87.87041667,28.4,31.4,72.15,0.74,20.7,168
,2/3/2021,2446.650833,37.865,96.15416667,53.34708333,142.34625,115.2608333,27.9,30.4,74.92,3.88,17.5,93
,3/3/2021,843.9233333,20.6,32.45291667,19.735,33.46958333,21.21,28.2,30.9,70.24,0,22.9,85
,4/3/2021,1132.647917,22.49125,45.9875,21.99958333,52.19208333,35.33875,27.9,30.2,70.36,0,25.3,151
,5/3/2021,1200.238333,23.10625,44.04541667,21.88083333,54.2325,35.80166667,28.4,30.5,67.98,0,22.5,151
,6/3/2021,697.8916667,16.74416667,54.05416667,14.00208333,30.85791667,16.96625,28.5,30.1,64.84,0,25.3,241
,7/3/2021,1136.82,24.26958333,36.3575,18.42791667,50.74166667,33.82083333,27.9,29.3,65.51,0,19.1,214
,8/3/2021,1258.930417,25.33791667,41.28375,22.005,59.65,41.76291667,27.7,29.2,67.17,0,17.7,224
,9/3/2021,1292.865417,25.40625,28.19041667,22.04541667,54.84458333,37.56875,27.4,28.9,69.08,0,22.4,173
,10/3/2021,1102.885417,22.44166667,38.19291667,19.24041667,48.13458333,31.87083333,27.8,28.7,63.47,0,26.1,243
,11/3/2021,914.2970833,20.15333333,32.17291667,16.96375,42.99083333,25.70083333,27.6,28.7,63.55,0,29.2,314
,12/3/2021,750.6016667,20.9175,27.77458333,16.17833333,27.685,16.71166667,27,28.4,72.78,0.3,111.5,279
,13/03/2021,856.4395833,23.35916667,29.29166667,17.40458333,29.30625,20.58,26.4,27.5,77.38,2.18,13.3,345
,14/03/2021,790.7958333,19.92458333,51.60708333,14.92708333,28.96875,20.69291667,27,28.6,74.19,0.07,16.1,335
,15/03/2021,1686.731667,37.76416667,22.67833333,31.3975,65.67875,49.89125,27.1,29.1,80.49,0.16,15.8,362
,16/03/2021,1697.301667,44.21916667,42.41375,40.82083333,86.80041667,69.60166667,27.5,30,82.44,1.14,20.1,384
,17/03/2021,2770.424167,58.34958333,99.64833333,63.24208333,180.19125,151.2383333,29,33.1,75.59,6.39,23.6,380
,18/03/2021,2512.575,57.69666667,90.81875,58.23416667,171.5979167,139.79,29.4,33.9,75.02,0.15,19,503
,19/03/2021,2191.8625,26.94041667,62.71833333,43.85916667,108.6354167,82.63541667,29.8,34.3,70.07,0,17.2,622
,20/03/2021,1605.79,30.94625,25.31791667,33.41833333,65.28666667,46.13958333,29.1,33,72.83,1.8,19.8,688
,21/03/2021,1287.024167,22.59125,25.63333333,25.1925,49.8825,34.575,29,32.8,71.91,18.67,20.3,648
,22/03/2021,1105.11,20.8,28.71333333,22.00541667,42.87708333,29.30083333,29.1,32.3,70.09,0.29,23.7,577
,23/03/2021,744.7604167,18.60833333,48.6875,14.455,30.32416667,22.11583333,28.9,31.1,62.52,0.09,25,500
,24/03/2021,1010.81625,25.61958333,46.33083333,21.61208333,41.89041667,28.29541667,28.1,30.6,70.69,0,20.3,590
,25/03/2021,1265.606667,28.24625,54.40083333,31.01458333,61.07291667,39.82958333,29.1,31.8,67.5,0,20.4,837
,26/03/2021,1241.685,22.88083333,40.02833333,24.5525,55.26,38.37333333,29.2,32,65.95,0,25.7,818
,27/03/2021,1034.459583,20.79583333,24.94958333,20.23125,41.79833333,28.28208333,29.3,32.4,68.3,0,17.5,814
,28/03/2021,1139.879583,23.84041667,39.86916667,28.2725,51.34916667,34.77708333,29.7,33.1,66.91,0,14.7,840
